DE,VV_de,dim_de,MA_de_syn,OC_de_syn,OB_de_syn,TK_de,CP_de_syn,DS,OC_it,OB_de,CL_it,RI_it,CP_geo,RI_en,io_en,priref,VV_de_syn,ej_de,B1p_url,io_it,B1p,IN,MUS,B1_title_de,modification,RI_de,TK_it,external,TK_en,ex,CP_it_syn,OC_de,ip_it,ip_en,BE_de,io_de,CL_de,B3_it,ej_en,ej_it,CP_de,OC_it_syn,nt,TI_de,MA_de,MA_it_syn,bt,public,dim_it,VV_it_syn,creation,timestamp,dim_en,ip_de,TK_it_syn,BE_it,BE_en,CP_it,MA_it,CL_en,VV_en,OB_en,VV_it,CP_en,OB_it,TK_de_syn,TI_en,B1_title_it,B1_title_en,B3_de,TI_it,OB_it_syn
,"Innerkofler\, Simon",Länge 3 min,,,Filmaufnahme,"gefilmt (Positiv\, Film Super 8 mm)","Tramin,Tramin a.d. Weinstraße,Überetsch-Südtiroler Unterland,Bozen-Südtirol,Trentino-Südtirol,Italien,Europa",,,Filmaufnahme,"Wettbewerb ""bewegtes Leben""",,"46.34141066\,11.23971639",,Brauchtum,50003008,"Innerkofler\, Simon","Amt für audiovisuelle Medien\, Bozen",,Usanza,,003006,ZAV,,2011-09-29T11:42:48Z,,"filmato (positivo\, pellicola super 8 mm)",false,"gefilmt (Positiv\, Film Super 8 mm)",NM004-A,"Termeno,Termeno sulla Strada del Vino,Oltradige-Bassa Atesina,Bolzano-Alto Adige,Trentino-Alto Adige,Italia,Europa",,"Corteo di carnevale,Carnevale,Fasnacht,Festwagen,Faschingstreiben,Tradition","Faschingsumzug,Fasching,Fasnacht,Festwagen,Faschingstreiben,Tradition",Egetmann-Umzugswagen für den traditionellen Traminer Faschingslauf.,Brauchtum,"Wettbewerb ""bewegtes Leben"" (Interreg IV)",,"Amt für audiovisuelle Medien\, Bozen","Archivio provinciale\, Bolzano",Tramin,,,Festwagen Egetmann-Umzug in Tramin,,,,true,lunghezza 3 min,"Innerkofler\, Simon",2007-03-02T10:24:26Z,2022-05-20T23:00:58.771Z,Länge 3 min,"Faschingsumzug,Fasching,Fasnacht,Festwagen,Faschingstreiben,Tradition","filmato (positivo\, pellicola super 8 mm),filmato,ripresa cinematografica",Egetmann-Umzugswagen für den traditionellen Traminer Faschingslauf.,Egetmann-Umzugswagen für den traditionellen Traminer Faschingslauf.,Termeno,,"Wettbewerb ""bewegtes Leben"" (Interreg IV)","Innerkofler\, Simon",Filmaufnahme,"Innerkofler\, Simon",Tramin,Filmaufnahme,"gefilmt (Positiv\, Film Super 8 mm),gefilmt,Filmaufnahmen",Festwagen Egetmann-Umzug in Tramin,,,,Festwagen Egetmann-Umzug in Tramin,Filmaufnahme
1970.1231,,Länge 13 min,,,Filmaufnahme,"gefilmt (Positiv\, Film Super 8 mm)","Pfatten,Pfatten,Überetsch-Südtiroler Unterland,Bozen-Südtirol,Trentino-Südtirol,Italien,Europa",1970.0101,,Filmaufnahme,"Wettbewerb ""bewegtes Leben""",,"46.413537\,11.30489295",,"Jugend,Brauchtum,Mobilität",50003009,,"Amt für audiovisuelle Medien\, Bozen",,"Gioventù,Usanza,Mobilità",,003007,ZAV,,2011-09-29T11:42:48Z,,"filmato (positivo\, pellicola super 8 mm)",false,"gefilmt (Positiv\, Film Super 8 mm)",NM005-A,"Vadena,Vadena,Oltradige-Bassa Atesina,Bolzano-Alto Adige,Trentino-Alto Adige,Italia,Europa",,"Bauernjugend,Agricoltura,Concorso,Chiesa,Tradition,Volkstanz,Musikkapelle,Associazioni","Bauernjugend,Landwirtschaft,Wettbewerb,Kirche,Tradition,Volkstanz,Musikkapelle,Vereinswesen","Treffen der Bauernjugend Unterland auf dem Gelände der Fachschule für Landwirtschaft Laimburg inkl. Festgottesdienst\, Volkstanz und Traktorgeschicklichkeitswettbewerb.","Jugend,Brauchtum,Mobilität","Wettbewerb ""bewegtes Leben"" (Interreg IV)",,"Amt für audiovisuelle Medien\, Bozen","Archivio provinciale\, Bolzano",Pfatten,,,Treffen der Bauernjugend Unterland,,,,true,lunghezza 13 min,,2007-03-02T10:24:26Z,2022-05-20T23:00:58.771Z,Länge 13 min,"Bauernjugend,Landwirtschaft,Wettbewerb,Kirche,Tradition,Volkstanz,Musikkapelle,Vereinswesen","filmato (positivo\, pellicola super 8 mm),filmato,ripresa cinematografica","Treffen der Bauernjugend Unterland auf dem Gelände der Fachschule für Landwirtschaft Laimburg inkl. Festgottesdienst\, Volkstanz und Traktorgeschicklichkeitswettbewerb.","Treffen der Bauernjugend Unterland auf dem Gelände der Fachschule für Landwirtschaft Laimburg inkl. Festgottesdienst\, Volkstanz und Traktorgeschicklichkeitswettbewerb.",Vadena,,"Wettbewerb ""bewegtes Leben"" (Interreg IV)",,Filmaufnahme,,Pfatten,Filmaufnahme,"gefilmt (Positiv\, Film Super 8 mm),gefilmt,Filmaufnahmen",Treffen der Bauernjugend Unterland,,,,Treffen der Bauernjugend Unterland,Filmaufnahme
1968.1231,,Länge 14 min,,,Filmaufnahme,"gefilmt (Positiv\, Film Super 8 mm)","Burgeis,Mals,Vinschgau,Bozen-Südtirol,Trentino-Südtirol,Italien,Europa,Ulten,Burggrafenamt,Bozen-Südtirol,Trentino-Südtirol,Italien,Europa,Kronplatz,Enneberg,Gadertal,Pustertal,Bozen-Südtirol,Trentino-Südtirol,Italien,Europa",1968.0101,,Filmaufnahme,"Wettbewerb ""bewegtes Leben""",,"46.70969905\,10.52838101",,"Jugend,Gesellschaft",50003010,,"Amt für audiovisuelle Medien\, Bozen",,"Gioventù,Società",,003008,ZAV,,2011-09-29T11:42:48Z,,"filmato (positivo\, pellicola super 8 mm)",false,"gefilmt (Positiv\, Film Super 8 mm)",NM005-B,"Burgusio,Malles Venosta,Val Venosta,Bolzano-Alto Adige,Trentino-Alto Adige,Italia,Europa,Ultimo,Burgraviato,Bolzano-Alto Adige,Trentino-Alto Adige,Italia,Europa,Kronplatz,Marebbe,Val Badia,Val Pusteria,Bolzano-Alto Adige,Trentino-Alto Adige,Italia,Europa",,"Alpenverein,Organizzazione giovanile,Gioventù,Alpinismo,Wandertour,Wanderausflug,Escursionismo,Escursione,Zeltlager,Paesaggio naturale,Sport invernale,Skirennen,Sciare,Impianto di risalita","Alpenverein,Jugendorganisation,Jugend,Alpinismus,Wandertour,Wanderausflug,Wandern,Ausflug,Zeltlager,Naturlandschaft,Wintersport,Skirennen,Skifahren,Aufstiegsanlage","AVS Jugendausflüge: Ausflugsfahrt nach Burgeis\, diverse Wandertouren\, Zeltlager im Ultental\, Skirennen am Kronplatz.","Jugend,Gesellschaft","Wettbewerb ""bewegtes Leben"" (Interreg IV)",,"Amt für audiovisuelle Medien\, Bozen","Archivio provinciale\, Bolzano","Burgeis,Ulten,Kronplatz",,,"""Berge und Jugend im Alpenverein""",,,,true,lunghezza 14 min,,2007-03-02T10:24:26Z,2022-05-20T23:00:58.771Z,Länge 14 min,"Alpenverein,Jugendorganisation,Jugend,Alpinismus,Wandertour,Wanderausflug,Wandern,Ausflug,Zeltlager,Naturlandschaft,Wintersport,Skirennen,Skifahren,Aufstiegsanlage","filmato (positivo\, pellicola super 8 mm),filmato,ripresa cinematografica","AVS Jugendausflüge: Ausflugsfahrt nach Burgeis\, diverse Wandertouren\, Zeltlager im Ultental\, Skirennen am Kronplatz.","AVS Jugendausflüge: Ausflugsfahrt nach Burgeis\, diverse Wandertouren\, Zeltlager im Ultental\, Skirennen am Kronplatz.","Burgusio,Ultimo,Kronplatz",,"Wettbewerb ""bewegtes Leben"" (Interreg IV)",,Filmaufnahme,,"Burgeis,Ulten,Kronplatz",Filmaufnahme,"gefilmt (Positiv\, Film Super 8 mm),gefilmt,Filmaufnahmen","""Berge und Jugend im Alpenverein""",,,,"""Berge und Jugend im Alpenverein""",Filmaufnahme
,Olympia Werke AG,"Breite 98 cm ,Höhe 67 cm ","Papier,Verarbeitete pfl. Produkte,Organischer Stoff,Material,Gewebe,Textilien/Faserstoffe,Pflanzlicher Stoff,Organischer Stoff,Material,Holz,Pflanzlicher Stoff,Organischer Stoff,Material","Bildwerke,Hessische Systematik,Raumausstattung\,,Kartographische Karten und Pläne,Bildwerke,Hessische Systematik,Bauzeichnungen/Baupläne,Kartographische Karten und Pläne,Bildwerke,Hessische Systematik,Architekturmodelle\,",Technische Zeichnung,gedruckt,,,"Bildwerke,Kartographische Karten und Pläne,Bauzeichnungen/Baupläne",Technische Zeichnung,K. Ryba, - ,,,,150004412,Olympia Werke AG,,https://kkssearch.prov.bz.it/kksImages/image?file=RY-P-0026_large.gif&mus=SMM,,RY-P-0026_large.gif,000026,SMM, - ,2016-07-29T12:26:26Z, - ,stampato,false,,,,"Bildwerke,Kartographische Karten und Pläne,Bauzeichnungen/Baupläne","macchina da scrivere,tecnica,meccanica,tastiera,materiale didattico,costruzione di macchine da scrivere",,"Aufrollbare Wandkarte mit technischer Detailzeichnung\nPapier mit Baumwollgewebe verstärkt\, mit Holzleisten und Aufhängeschnur",,K. Ryba,,,,,"Bildwerke,Hessische Systematik,Raumausstattung\,,Kartographische Karten und Pläne,Bildwerke,Hessische Systematik,Bauzeichnungen/Baupläne,Kartographische Karten und Pläne,Bildwerke,Hessische Systematik,Architekturmodelle\,",,Leertaste SGE 50M (Olympia),"Papier,Gewebe,Holz","carta,prodotti vegetali lavorati,materia organica,materiale,tessuto,prodotti tessili/tessuti fibrosi,sostanza vegetale,materia organica,materiale,legno,sostanza vegetale,materia organica,materiale",,true,"larghezza 98 cm ,altezza 67 cm ",Olympia Werke AG,2013-02-21T08:43:28Z,2022-05-20T23:02:43.037Z,,"Schreibmaschine,Technik,Mechanik,Tastatur,Lehrmittel,Schreibmaschinenbau","stampato,Verzierungs- und farbgebende Technikx,tecnica","carta murale arrotolabile con disegno tecnico di dettaglio\ncarta telata\, con listelli in legno e corda per affissione\n",,,"carta,tessuto,legno",,,,Olympia Werke AG,,disegno tecnico,"gedruckt,Verzierungs- und farbgebende Technikx,Technik",, - ,,,Leertaste SGE 50M (Olympia),disegno tecnico
1900.1231,,,,"Mineralien,Mineral\,","Sedimentgestein,Mineral,Steine u. Erden,Anorganische Stoffe,Material",,,1900.0101,minerali,Sedimentgestein,Museum, - ,,,,40027919,,,https://kkssearch.prov.bz.it/kksImages/image?file=~    381.    35.jpg&mus=SME,,~    381.    35.jpg,381/35,SME, - ,2021-11-25T10:22:28Z, - ,,false,,,,Mineralien,,,Onyx Muster,,Museum,,,,,"minerali,minerale\,",,,,,,true,,,2007-04-03T16:59:50Z,2022-05-20T23:01:16.118Z,,,,Onyx Muster,,,,,,,,,roccia sedimentaria,,, - ,,,,"roccia sedimentaria,minerale,pietre e terre,materia inorganica,materiale"
,,Durchmesser 6 cm ,"Bronze,Legierung,Metall,Anorganische Stoffe,Material","Kleidung,Hessische Systematik",Bodenfund,,,,Abbigliamento,Bodenfund,Museum, - ,,,,40019974,,,https://kkssearch.prov.bz.it/kksImages/image?file=~     70.     0.jpg&mus=SME,,~     70.     0.jpg,70,SME, - ,2020-11-02T13:04:04Z, - ,,false,,,,Kleidung,,,Bronzering mit zwei eingehängten Spiralen und einen Ringelchen Fundort: Tartscher Bühl Bodenfunde,,Museum,,,,,"Abbigliamento,Hessische Systematik",,,Bronze,"bronzo,lega,metallo,materia inorganica,materiale",,true,diametro 6 cm ,,2007-04-03T17:59:50Z,2022-05-20T23:01:05.964Z,,,,Bronzering mit zwei eingehängten Spiralen und einen Ringelchen Fundort: Tartscher Bühl Bodenfunde,,,bronzo,,,,,,Bodenfund,,, - ,,,,Bodenfund
,,,"Bronze,Legierung,Metall,Anorganische Stoffe,Material","Kleidung,Hessische Systematik",Fibel,,,,Abbigliamento,Fibel,Museum," - , - , - , - ",,,,40019975,,,"https://kkssearch.prov.bz.it/kksImages/image?file=~     71.     0.jpg&mus=SME,https://kkssearch.prov.bz.it/kksImages/image?file=~     71.     0~1.jpg&mus=SME,https://kkssearch.prov.bz.it/kksImages/image?file=~     71.     0~2.jpg&mus=SME,https://kkssearch.prov.bz.it/kksImages/image?file=~     71.     0~3.jpg&mus=SME",,"~     71.     0.jpg,~     71.     0~1.jpg,~     71.     0~2.jpg,~     71.     0~3.jpg",71,SME," - , - , - , - ",2020-11-02T13:04:36Z," - , - , - , - ",,false,,,,Kleidung,,,"9 Stück Bronzefragmente (1 Fragment Kahnfibel\, 3 Bronzebleche\, 1 Bronzeknopf\, 2 Henkelreste\, 2 obere Teile von Nadeln) Fundort: Tartscher Bühl Finder: Alois Menghin 1912 Lit.: M A G 1920\, S. 55 - Abb. 1 Bodenfunde",,Museum,,,,,"Abbigliamento,Hessische Systematik",,,Bronze,"bronzo,lega,metallo,materia inorganica,materiale",,true,,,2007-04-03T16:59:50Z,2022-05-20T23:01:05.964Z,,,,"9 Stück Bronzefragmente (1 Fragment Kahnfibel\, 3 Bronzebleche\, 1 Bronzeknopf\, 2 Henkelreste\, 2 obere Teile von Nadeln) Fundort: Tartscher Bühl Finder: Alois Menghin 1912 Lit.: M A G 1920\, S. 55 - Abb. 1 Bodenfunde",,,bronzo,,,,,,Fibel,,," - , - , - , - ",,,,Fibel
1890.1231,,,,"Hauswirtschaft,Hessische Systematik","Essen und Trinken,Hauswirtschaft,Hessische Systematik",,,1790.0101,economia domestica,Essen und Trinken,Museum, - ,,,,40020151,,,https://kkssearch.prov.bz.it/kksImages/image?file=~   5215.     0.jpg&mus=SME,,~   5215.     0.jpg,5215,SME, - ,2021-11-18T15:50:20Z, - ,,false,,,,Hauswirtschaft,,,Fragmente römische Gläser Bodenfunde Sammlung Mazegger,,Museum,,,,,"economia domestica,Hessische Systematik",,,,,,true,,,2007-04-03T17:59:50Z,2022-05-20T23:01:07.380Z,,,,Fragmente römische Gläser Bodenfunde Sammlung Mazegger,,,,,,,,,Mangiare e bere,,, - ,,,,"Mangiare e bere,economia domestica,Hessische Systematik"
