DE,VV_de,dim_de,MA_de_syn,OC_de_syn,OB_de_syn,TK_de,CP_de_syn,DS,OC_it,OB_de,CL_it,RI_it,CP_geo,RI_en,io_en,priref,VV_de_syn,ej_de,B1p_url,io_it,B1p,IN,MUS,B1_title_de,modification,RI_de,TK_it,external,TK_en,ex,CP_it_syn,OC_de,ip_it,ip_en,BE_de,io_de,CL_de,B3_it,ej_en,ej_it,CP_de,OC_it_syn,nt,TI_de,MA_de,MA_it_syn,bt,public,dim_it,VV_it_syn,creation,timestamp,dim_en,ip_de,TK_it_syn,BE_it,BE_en,CP_it,MA_it,CL_en,VV_en,OB_en,VV_it,CP_en,OB_it,TK_de_syn,TI_en,B1_title_it,B1_title_en,B3_de,TI_it,OB_it_syn
1960.1231,"Schlern-Verlag,Fränzl\, Lorenz","Breite 13 cm ,Höhe 8 cm ",,,"Fotografie,Neue Bildende Kunst,Bildwerk,Lichtbild\,","fotografiert (Schwarzweißfotografie),fotografiert (Glasplatte)","Bozen\, Froschbrunnen,Bozen,Bozen-Südtirol,Trentino-Südtirol,Italien,Europa",1925.0101,,Fotografie,032-fondo Editrice Sciliaria Lichtbild Interreg V,CC BY 4.0,"46.497022\,11.357658",,,60066111,"Schlern-Verlag,Fränzl\, Lorenz",,https://kkssearch.prov.bz.it/kksImages/image?file=LAV032-0761.jpg&mus=LAV,"costruzione,storia",LAV032-0761.jpg,LAV032-0761,LAV," - ",2018-11-15T15:12:29Z,CC BY 4.0,"fotografato (fotografia in bianco e nero),fotografato (lastra di vetro)",false,,,"Bozen\, Froschbrunnen,Bolzano,Bolzano-Alto Adige,Trentino-Alto Adige,Italia,Europa",,"città,fontana,passanti,parco,piazza,strada",,Froschbrunnen am Bozner Bahnhof,"Bauwerke,Geschichte",032-Bestand Schlern-Verlag Lichtbild Interreg V,,,,"Bozen\, Froschbrunnen",,,Dolomiti - Bolzano - Fontane delle Rane,,,,true,"larghezza 13 cm ,altezza 8 cm ","Editrice Sciliaria,Fränzl\, Lorenz",2009-08-16T12:51:52Z,2022-03-12T00:02:28.447Z,,"Stadt,Brunnen,Menschenmenge / Passanten,Park,Platz,Straße","fotografato (fotografia in bianco e nero),riprese fotografiche,fotografato (lastra di vetro),riprese fotografiche",Fontana delle Rane alla Stazione di Bolzano,,"Bozen\, Froschbrunnen",,,,,"Editrice Sciliaria,Fränzl\, Lorenz",,fotografia,"fotografiert (Schwarzweißfotografie),Bildaufnahmen,fotografiert (Glasplatte),Bildaufnahmen",," - ",,,Dolomiti - Bolzano - Fontane delle Rane\n,"fotografia,Neue Bildende Kunst,Bildwerk,Lichtbild\,"
"",Schlern-Verlag,"Länge 10.5 cm ,Höhe 14 cm ","Fotopapier,Papier,Verarbeitete pfl. Produkte,Organischer Stoff,Material",,"Ansichtskarte,Postkarte,Druckwerk,Gebrauchsgrafik,Grafik,Bildwerk",fotografiert,"Bozen\, Roseggerpark,Bozen,Bozen-Südtirol,Trentino-Südtirol,Italien,Europa",,,Ansichtskarte,032-fondo Editrice Sciliaria Lichtbild Interreg V,CC BY 4.0,"46.495438\,11.350248",,,60072931,Schlern-Verlag,,https://kkssearch.prov.bz.it/kksImages/image?file=LAV032-0754.jpg&mus=LAV,,LAV032-0754.jpg,LAV032-0754,LAV," - ",2018-11-15T15:12:28Z,CC BY 4.0,fotografato,false,,,"Bozen\, Roseggerpark,Bolzano,Bolzano-Alto Adige,Trentino-Alto Adige,Italia,Europa",,statua,,"Waltherdenkmal in Bozen\, Roseggerpark",,032-Bestand Schlern-Verlag Lichtbild Interreg V,,,,"Bozen\, Roseggerpark",,,Dolomiti - Bolzano - Monumento a Walter,Fotopapier,"carta fotosensibile,carta,prodotti vegetali lavorati,materia organica,materiale",,true,"lunghezza 10.5 cm ,altezza 14 cm ",Editrice Sciliaria,2018-01-11T15:59:50Z,2022-03-12T00:02:33.968Z,,Statue,"fotografato,riprese fotografiche",Bolzano - Monumento a Walter\n,,"Bozen\, Roseggerpark",carta fotosensibile,,,,Editrice Sciliaria,,Cartolina illustrata,"fotografiert,Bildaufnahmen",," - ",,,Dolomiti - Bolzano - Monumento a Walter,"Cartolina illustrata,cartolina postale,Druckwerk,Gebrauchsgrafik,grafica,Bildwerk"
"","Schlern-Verlag,Fränzl\, Lorenz","Länge 9 cm ,Höhe 14 cm ","Fotopapier,Papier,Verarbeitete pfl. Produkte,Organischer Stoff,Material",,"Ansichtskarte,Postkarte,Druckwerk,Gebrauchsgrafik,Grafik,Bildwerk",fotografiert,"Bozen\, Bindergasse,Bozen,Bozen-Südtirol,Trentino-Südtirol,Italien,Europa",,,Ansichtskarte,032-fondo Editrice Sciliaria Lichtbild Interreg V,CC BY 4.0,"46.500678\,11.35683",,,60072932,"Schlern-Verlag,Fränzl\, Lorenz",,https://kkssearch.prov.bz.it/kksImages/image?file=LAV032-0755.jpg&mus=LAV,,LAV032-0755.jpg,LAV032-0755,LAV," - ",2020-11-23T15:45:23Z,CC BY 4.0,fotografato,false,,,"Bolzano\, via Bottai,Bolzano,Bolzano-Alto Adige,Trentino-Alto Adige,Italia,Europa",,"città,vicolo",,Bindergasse in Bozen mit Ochsengespann,,032-Bestand Schlern-Verlag Lichtbild Interreg V,,,,"Bozen\, Bindergasse",,,Dolomiti - Bolzano - Via Bottai,Fotopapier,"carta fotosensibile,carta,prodotti vegetali lavorati,materia organica,materiale",,true,"lunghezza 9 cm ,altezza 14 cm ","Editrice Sciliaria,Fränzl\, Lorenz",2018-01-11T16:26:46Z,2022-03-12T00:02:33.968Z,,"Stadt,Gasse","fotografato,riprese fotografiche","Bolzano\, via Bottai con due buoi",,"Bolzano\, via Bottai",carta fotosensibile,,,,"Editrice Sciliaria,Fränzl\, Lorenz",,Cartolina illustrata,"fotografiert,Bildaufnahmen",," - ",,,Dolomiti - Bolzano - Via Bottai,"Cartolina illustrata,cartolina postale,Druckwerk,Gebrauchsgrafik,grafica,Bildwerk"
1947.0627,Fotostudio Waldmüller,"Höhe 18 cm ,Breite 24 cm ",,,"Fotografie,Neue Bildende Kunst,Bildwerk,Lichtbild\,",fotografiert (Glasplatte),"Bozen\, Pfarrkirche,Bozen,Bozen-Südtirol,Trentino-Südtirol,Italien,Europa",1947.0627,,Fotografie,003-Fondo Fotostudio Waldmüller Lichtbild Interreg V,CC BY 4.0,"46.497530\,11.353965",,,60073467,Fotostudio Waldmüller,,https://kkssearch.prov.bz.it/kksImages/image?file=LAV003-C-01356-521.jpg&mus=LAV,,LAV003-C-01356-521.jpg,LAV003-C-01356-521,LAV," - ",2019-12-18T16:40:23Z,CC BY 4.0,fotografato (lastra di vetro),false,,,"Bolzano\, chiesa parrocchiale,Bolzano,Bolzano-Alto Adige,Trentino-Alto Adige,Italia,Europa",,"ripresa in esterno,chiesa,edificio",,Außenaufnahme. Ruines des Bozner Doms,,003-Bestand Fotostudio Waldmüller Lichtbild Interreg V,Iscrizione sulla scatola: Dom 27-6-47,,,"Bozen\, Pfarrkirche",,,,,,,true,"altezza 18 cm ,larghezza 24 cm ",Fotostudio Waldmüller,2018-08-07T11:05:56Z,2022-03-12T00:02:33.968Z,,"Außenaufnahme,Kirche,Gebäude","fotografato (lastra di vetro),riprese fotografiche",Ripresa in esterno. Rovine del duomo di Bolzano,,"Bolzano\, chiesa parrocchiale",,,,,Fotostudio Waldmüller,,fotografia,"fotografiert (Glasplatte),Bildaufnahmen",," - ",,Beschriftung auf Schachtel: Dom 27-6-47,,"fotografia,Neue Bildende Kunst,Bildwerk,Lichtbild\,"
